source,target,value
3844455153,1007617800,2/19/16 14:25
15929599,543022487,2/19/16 14:25
2613332442,18791763,2/19/16 14:25
3824912379,67514751,2/19/16 14:25
7.00686E+17,109361219,2/19/16 14:25
4145603123,4122056133,2/19/16 14:25
146987137,49658852,2/19/16 14:25
3573249972,474464413,2/19/16 14:25
18273674,61816136,2/19/16 14:25
2920659436,347627434,2/19/16 14:25
7.00686E+17,109361219,2/19/16 14:25
7.00685E+17,109361219,2/19/16 14:25
3873277803,29465136,2/19/16 14:25
1969699820,1049171,2/19/16 14:25
469944668,18791763,2/19/16 14:25
725934620,23954775,2/19/16 14:25
989903257,230069097,2/19/16 14:25
4858171959,4263893061,2/19/16 14:25
21110278,18791763,2/19/16 14:25
793530145,1586720762,2/19/16 14:25
54096689,3448846420,2/19/16 14:25
36160724,18791763,2/19/16 14:25
4505197042,18791763,2/19/16 14:26
1928290020,2347049341,2/19/16 14:26
7.00686E+17,109361219,2/19/16 14:26
1050111,15741036,2/19/16 14:26
4432362193,993738031,2/19/16 14:26
366240028,95518830,2/19/16 14:26
2920659436,18288270,2/19/16 14:26
20353370,807095,2/19/16 14:26
301250622,3380367683,2/19/16 14:26
304466691,262960361,2/19/16 14:26
762435337,197404857,2/19/16 14:26
1549124424,22642788,2/19/16 14:26
3343118649,912791533,2/19/16 14:26
2341064798,2976653309,2/19/16 14:26
4817950082,2802914269,2/19/16 14:26
167643090,104725145,2/19/16 14:26
419673166,474464413,2/19/16 14:26
361394423,261330050,2/19/16 14:26
385757052,18791763,2/19/16 14:26
4373965276,18791763,2/19/16 14:26
2995882126,3074225132,2/19/16 14:26
2858299039,3710929452,2/19/16 14:26
396073671,17971913,2/19/16 14:26
3003765995,713213745,2/19/16 14:26
705302928,1065869268,2/19/16 14:26
127175879,455264233,2/19/16 14:26
278163796,15754281,2/19/16 14:26
518498781,272107377,2/19/16 14:26
37025524,3380367683,2/19/16 14:26
342520333,579144258,2/19/16 14:26
4334951714,3228495293,2/19/16 14:26
7.00686E+17,109361219,2/19/16 14:26
514834066,18791763,2/19/16 14:26
1214279948,2697587450,2/19/16 14:26
1169054324,17980523,2/19/16 14:26
2257704889,914061,2/19/16 14:26
564843416,17539069,2/19/16 14:26
3098164547,33884545,2/19/16 14:26
15565363,14248226,2/19/16 14:26
908953957,4774532193,2/19/16 14:26
768493927,33276161,2/19/16 14:26
137718722,18678924,2/19/16 14:26
109297816,261330050,2/19/16 14:26
508370282,3194899940,2/19/16 14:26
2206468610,17539069,2/19/16 14:26
2941339657,1187647735,2/19/16 14:26
2911833425,3497865853,2/19/16 14:26
3233655642,326255267,2/19/16 14:26
3532804813,17980523,2/19/16 14:26
7.00684E+17,109361219,2/19/16 14:26
1064203465,3497865853,2/19/16 14:26
605077270,807095,2/19/16 14:26
7.00686E+17,109361219,2/19/16 14:26
3370854327,42825230,2/19/16 14:26
2613332442,1420660507,2/19/16 14:26
2327572753,304728062,2/19/16 14:26
